property_id,dwelling_type,zoning,lot_frontage_ft,lot_area_sqft,lot_shape,neighborhood,building_type,house_style,overall_quality,overall_condition,year_built,year_remodeled,exterior_quality,foundation,basement_quality,basement_sqft,central_air,living_area_sqft,full_bathrooms,bedrooms,kitchen_quality,fireplaces,garage_type,garage_capacity,deck_sqft,sale_month,sale_year,sale_price
HOME-100244,60,RL,,12205,IR1,ClearCr,1Fam,2Story,6,8,1966,2007,TA,CBlock,TA,832.0,Y,2087,2,5,Gd,0,Attchd,2.0,133,7,2007,198066
HOME-100160,30,RL,52.0,9022,Reg,OldTown,1Fam,1Story,5,8,1924,2006,Gd,BrkTil,TA,768.0,Y,792,1,2,Gd,0,Detchd,1.0,316,5,2009,111974
HOME-101020,80,RL,87.0,11084,IR1,Gilbert,1Fam,SLvl,7,5,2004,2004,Gd,PConc,Gd,384.0,Y,1374,2,3,Gd,1,BuiltIn,2.0,100,6,2007,187796
HOME-100764,20,RL,95.0,13651,IR1,NAmes,1Fam,1Story,7,6,1973,1973,TA,CBlock,Gd,2223.0,Y,2223,2,3,TA,2,Attchd,2.0,300,2,2007,266189
HOME-101011,20,RL,74.0,9990,Reg,Mitchel,1Fam,1Story,4,5,1991,1991,TA,PConc,Gd,1680.0,Y,1689,2,3,TA,1,Attchd,2.0,428,7,2008,247587
HOME-101367,70,RM,47.0,7755,Reg,OldTown,1Fam,2Story,6,8,1918,1995,TA,CBlock,TA,1100.0,Y,2264,2,4,TA,0,Detchd,1.0,0,5,2007,216379
HOME-100465,20,RL,60.0,10122,Reg,OldTown,1Fam,1Story,4,6,1948,1950,TA,Slab,,0.0,N,869,1,1,TA,0,Detchd,1.0,0,8,2008,97934
HOME-100644,60,RL,,16659,IR1,NWAmes,1Fam,2Story,7,7,1977,1994,TA,CBlock,TA,795.0,Y,2263,2,3,Gd,1,Attchd,2.0,0,3,2006,257154
HOME-101929,90,RL,,11855,Reg,SawyerW,Duplex,2Story,7,5,2000,2000,TA,PConc,Ex,1168.0,Y,2787,4,6,TA,2,BuiltIn,4.0,312,10,2009,277043
HOME-100953,20,RL,110.0,14230,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,Gd,PConc,Gd,1566.0,Y,1600,2,3,Gd,1,Attchd,3.0,0,7,2009,260438
HOME-100450,30,RM,51.0,6120,Reg,BrkSide,1Fam,1Story,5,7,1931,1993,TA,BrkTil,TA,715.0,Y,875,1,2,TA,0,Detchd,1.0,48,11,2009,106528
HOME-101034,20,RL,80.0,10400,Reg,NWAmes,1Fam,1Story,7,5,1976,1976,TA,CBlock,Gd,1090.0,Y,1370,2,3,TA,1,Attchd,2.0,0,6,2009,156520
HOME-102850,60,RL,174.0,15138,IR1,NoRidge,1Fam,2Story,8,5,1995,1996,Gd,PConc,Gd,1462.0,Y,2794,2,4,Ex,1,Attchd,3.0,0,7,2009,417159
HOME-101368,90,RL,,10547,IR1,Edwards,Duplex,SFoyer,5,5,1978,1978,TA,PConc,Gd,1152.0,Y,1152,2,2,TA,0,Detchd,1.0,0,7,2009,164798
HOME-102268,20,RM,99.0,5940,IR1,BrkSide,1Fam,1Story,4,7,1946,1950,TA,PConc,,,Y,896,1,2,TA,0,Detchd,1.0,0,4,2008,83570
HOME-100966,20,RL,83.0,9849,Reg,Somerst,1Fam,1Story,7,6,2007,2007,Gd,PConc,Gd,1689.0,Y,1689,2,3,Gd,0,Attchd,3.0,0,6,2007,270700
HOME-102366,60,RL,72.0,8640,Reg,NAmes,1Fam,2Story,5,5,1968,1968,TA,CBlock,Gd,900.0,Y,1770,1,4,TA,0,Attchd,2.0,0,6,2006,170903
HOME-101874,20,RL,79.0,8910,Reg,NAmes,1Fam,1Story,6,6,1959,1959,TA,CBlock,TA,655.0,Y,1194,1,3,TA,1,BuiltIn,2.0,0,7,2006,178241
HOME-101615,50,RM,52.0,6240,Reg,BrkSide,1Fam,1.5Fin,6,6,1934,1950,TA,PConc,TA,816.0,Y,1176,1,3,TA,1,Detchd,2.0,112,9,2006,124793
HOME-102281,20,RL,160.0,18160,Reg,Gilbert,1Fam,1Story,6,6,1964,1964,TA,CBlock,TA,1302.0,Y,1128,1,3,TA,1,Attchd,2.0,0,3,2007,169312
HOME-102169,50,RL,66.0,21780,Reg,Edwards,1Fam,1.5Fin,6,7,1918,1950,TA,BrkTil,Gd,1163.0,Y,1674,2,4,TA,1,Detchd,2.0,72,7,2008,197333
HOME-100270,60,RL,62.0,7917,Reg,Gilbert,1Fam,2Story,6,5,1999,2000,TA,PConc,Gd,953.0,Y,1647,2,3,TA,1,Attchd,2.0,0,8,2007,189439
HOME-102019,20,RL,65.0,7150,Reg,Sawyer,1Fam,1Story,5,6,1962,1962,TA,CBlock,TA,912.0,Y,912,1,3,TA,0,Attchd,1.0,0,10,2009,127348
HOME-101001,50,RM,60.0,5520,Reg,OldTown,1Fam,1.5Fin,4,6,1920,1980,TA,PConc,TA,1147.0,N,1657,1,4,Fa,1,Detchd,1.0,0,7,2006,126457
HOME-102383,60,FV,85.0,10574,Reg,Somerst,1Fam,2Story,8,5,2005,2006,Gd,PConc,Gd,1082.0,Y,1953,2,3,Gd,1,Attchd,3.0,160,5,2009,265923
HOME-102790,50,RL,60.0,7200,Reg,NAmes,1Fam,1.5Fin,6,5,1954,1954,TA,CBlock,TA,854.0,Y,1278,1,4,TA,0,Attchd,1.0,0,4,2008,135963
HOME-102137,60,RL,96.0,11308,IR1,NridgHt,1Fam,2Story,9,5,2008,2008,Ex,PConc,Ex,1104.0,Y,2184,2,3,Ex,1,Attchd,3.0,0,7,2009,348737
HOME-100566,160,RM,21.0,1680,Reg,BrDale,Twnhs,2Story,5,5,1971,1971,TA,CBlock,TA,630.0,Y,1302,2,3,TA,0,Detchd,1.0,0,5,2009,114880
HOME-101017,60,RL,62.0,8857,IR1,Gilbert,1Fam,2Story,6,5,2006,2006,Gd,PConc,Gd,738.0,Y,1495,2,3,Gd,1,Attchd,2.0,100,3,2007,186862
HOME-100531,60,RL,,11929,IR1,NoRidge,1Fam,2Story,8,7,1995,1995,Gd,PConc,Gd,1242.0,Y,2501,2,4,Gd,1,Attchd,3.0,192,6,2008,311295
HOME-100972,70,RL,100.0,9670,IR1,Crawfor,1Fam,2Story,8,6,1935,1950,TA,PConc,TA,608.0,Y,1873,1,4,TA,2,Detchd,2.0,0,6,2008,269690
HOME-101311,20,RL,63.0,9750,IR1,Sawyer,1Fam,1Story,5,5,1962,1962,TA,CBlock,TA,980.0,Y,980,1,3,TA,0,Detchd,2.0,0,11,2009,113342
HOME-102503,80,RL,88.0,15312,Reg,Sawyer,1Fam,SLvl,6,5,1960,1960,TA,CBlock,TA,1138.0,Y,1138,1,3,TA,1,Attchd,2.0,0,3,2009,155296
HOME-100871,120,RL,34.0,5001,IR1,NridgHt,Twnhs,1Story,7,5,2007,2008,Gd,PConc,Gd,1314.0,Y,1314,2,2,Gd,1,Attchd,2.0,172,7,2009,237934
HOME-102528,20,RL,98.0,12291,IR1,Somerst,1Fam,1Story,10,5,2007,2007,Ex,PConc,Ex,1966.0,Y,1966,2,1,Ex,1,Attchd,3.0,76,10,2007,462080
HOME-100322,20,RL,80.0,9200,Reg,NAmes,1Fam,1Story,6,6,1965,1965,TA,CBlock,TA,1136.0,Y,1136,1,3,TA,1,Attchd,1.0,426,7,2008,144542
HOME-100714,20,RL,70.0,7315,Reg,NAmes,1Fam,1Story,5,6,1958,1958,TA,CBlock,TA,1170.0,Y,1170,1,3,TA,1,Attchd,1.0,0,3,2007,155543
HOME-102645,160,RL,75.0,10762,Reg,SawyerW,TwnhsE,2Story,6,6,1980,1980,TA,CBlock,Gd,626.0,Y,1217,1,3,TA,1,Attchd,1.0,0,4,2009,124640
HOME-101831,20,RL,84.0,17808,Reg,Edwards,1Fam,1Story,4,5,1946,1950,TA,CBlock,TA,484.0,N,1242,1,2,TA,0,Attchd,1.0,0,7,2007,119145
HOME-102157,60,FV,75.0,9375,Reg,Somerst,1Fam,2Story,8,5,2003,2004,Gd,PConc,Ex,1053.0,Y,1992,2,3,Gd,1,Attchd,2.0,140,8,2008,266224
HOME-102474,20,RL,,12493,IR1,NAmes,1Fam,1Story,4,5,1960,1960,TA,PConc,TA,1100.0,Y,1100,1,3,TA,1,Attchd,1.0,355,4,2008,151087
HOME-102093,60,RL,70.0,8750,Reg,CollgCr,1Fam,2Story,6,5,1998,1998,TA,PConc,Gd,928.0,Y,1772,2,3,TA,1,Attchd,2.0,150,4,2009,207240
HOME-102660,120,RL,40.0,5664,IR1,StoneBr,TwnhsE,1Story,8,5,2000,2000,Gd,PConc,Gd,1501.0,Y,1659,2,2,Ex,1,Attchd,2.0,212,10,2009,285508
HOME-102543,20,RL,,9308,IR1,Sawyer,1Fam,1Story,5,5,1965,1965,TA,CBlock,TA,984.0,Y,984,1,3,TA,0,Attchd,1.0,0,7,2006,137224
HOME-100252,20,RL,70.0,9100,Reg,Sawyer,1Fam,1Story,5,5,1963,1963,TA,PConc,TA,984.0,Y,984,1,3,TA,1,Attchd,1.0,145,8,2008,132172
