booking_id,hotel,canceled,lead_time,arrival_year,arrival_week,arrival_day,weekend_nights,weekday_nights,adults,children,babies,meal,country,market_segment,distribution_channel,repeated_guest,previous_cancellations,previous_completed_bookings,room_type,booking_changes,deposit_type,waitlist_days,customer_type,average_daily_rate,parking_spaces,special_requests,arrival_month
BOOK-213213,Resort Hotel,0,24,2016,15,6,0,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,1,No Deposit,0,Transient,59.18,1,0,4
BOOK-149751,City Hotel,1,130,2017,16,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,95.0,0,0,4
BOOK-158894,City Hotel,0,157,2016,41,7,0,1,3,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,133.6,0,0,10
BOOK-146785,City Hotel,1,356,2017,19,13,1,1,2,2.0,0,BB,BHR,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,189.9,0,3,5
BOOK-106420,City Hotel,1,64,2016,31,24,2,2,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,94.5,0,0,7
BOOK-149038,City Hotel,1,186,2017,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,130.0,0,0,5
BOOK-153710,Resort Hotel,0,230,2016,7,12,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,31.88,0,3,2
BOOK-177005,City Hotel,0,4,2016,9,25,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,93.0,0,0,2
BOOK-150797,City Hotel,0,1,2017,3,20,2,7,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,74.8,0,1,1
BOOK-137956,City Hotel,0,0,2016,12,16,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,109.0,0,0,3
BOOK-219108,City Hotel,1,337,2015,38,19,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,No Deposit,0,Transient-Party,62.0,0,0,9
BOOK-189854,City Hotel,0,192,2016,26,24,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,95.0,0,0,6
BOOK-200731,City Hotel,1,38,2016,30,20,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,117.9,0,0,7
BOOK-105841,City Hotel,1,1,2017,19,10,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,150.0,0,0,5
BOOK-123159,Resort Hotel,0,20,2015,45,4,0,3,2,0.0,0,BB,NOR,Direct,Direct,0,0,0,D,1,No Deposit,0,Transient,48.0,0,1,11
BOOK-211656,City Hotel,1,126,2016,16,14,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,39,Transient,65.0,0,0,4
BOOK-137085,City Hotel,0,2,2016,23,2,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,0,No Deposit,0,Transient,109.0,0,0,6
BOOK-140640,City Hotel,0,71,2016,12,14,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,58.25,0,1,3
BOOK-154155,City Hotel,1,19,2015,49,5,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,1,1,0,A,0,No Deposit,0,Transient,69.0,0,0,12
BOOK-178110,Resort Hotel,1,203,2016,29,16,6,12,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,204.44,0,0,7
BOOK-195088,City Hotel,1,11,2016,41,2,2,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,155.0,0,0,10
BOOK-189025,City Hotel,0,4,2016,8,14,2,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,1,No Deposit,0,Transient-Party,68.0,0,0,2
BOOK-138544,City Hotel,1,182,2016,42,12,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,98.1,0,0,10
BOOK-153135,Resort Hotel,0,223,2016,22,24,2,6,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,1,No Deposit,0,Transient-Party,66.0,0,0,5
BOOK-165115,City Hotel,0,16,2017,19,10,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,17,A,0,No Deposit,0,Transient,104.0,1,2,5
BOOK-174566,City Hotel,0,145,2016,19,3,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,99.45,0,0,5
BOOK-113511,City Hotel,1,336,2015,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,101.5,0,0,9
BOOK-119742,Resort Hotel,0,83,2015,45,2,1,4,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Transient,61.87,0,0,11
BOOK-134830,City Hotel,0,65,2016,30,23,1,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,94.5,0,1,7
BOOK-186958,City Hotel,1,155,2016,36,1,2,3,2,0.0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,161.1,0,0,9
BOOK-159441,Resort Hotel,1,383,2016,41,6,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,48.0,0,0,10
BOOK-101429,City Hotel,0,127,2017,25,23,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,126.0,0,0,6
BOOK-132003,Resort Hotel,0,119,2016,23,1,2,7,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,95.0,0,1,6
BOOK-126222,City Hotel,0,29,2015,41,4,2,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Group,76.81,0,0,10
BOOK-102619,City Hotel,1,176,2017,15,14,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,90.0,0,0,4
BOOK-165931,Resort Hotel,0,15,2015,52,24,0,1,2,0.0,0,BB,CHN,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,43.0,0,0,12
BOOK-183012,Resort Hotel,0,0,2016,42,9,0,0,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,0,No Deposit,0,Transient,0.0,0,0,10
BOOK-175141,Resort Hotel,0,0,2016,5,26,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,40.0,0,0,1
BOOK-138879,Resort Hotel,0,28,2015,36,4,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,79.5,1,0,9
BOOK-188900,Resort Hotel,0,11,2016,23,30,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,89.67,1,1,5
BOOK-210235,Resort Hotel,0,236,2016,20,12,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,2,No Deposit,0,Transient-Party,43.33,1,0,5
BOOK-174538,Resort Hotel,0,1,2015,49,5,2,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,30.0,0,0,12
BOOK-137163,Resort Hotel,0,4,2015,48,27,1,2,1,0.0,0,SC,ESP,Groups,Corporate,0,0,0,A,2,No Deposit,0,Transient-Party,0.0,0,0,11
BOOK-182306,Resort Hotel,0,28,2016,43,18,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,43.89,0,1,10
BOOK-182368,Resort Hotel,0,41,2015,53,31,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,145.87,0,1,12
BOOK-183945,City Hotel,1,108,2017,22,2,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,126.0,0,1,6
BOOK-153822,Resort Hotel,1,213,2016,21,16,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,85.0,0,0,5
BOOK-171270,Resort Hotel,0,5,2015,41,10,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,1,No Deposit,0,Transient,101.5,0,2,10
BOOK-164574,City Hotel,1,54,2017,3,18,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,65.0,0,0,1
BOOK-130283,City Hotel,0,19,2016,7,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient,100.5,0,2,2
BOOK-168371,Resort Hotel,0,21,2016,2,5,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,0,No Deposit,0,Transient,0.0,0,1,1
BOOK-168152,City Hotel,0,423,2017,24,14,0,3,2,0.0,0,BB,AUS,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,112.67,0,1,6
BOOK-190572,City Hotel,0,1,2016,27,28,0,1,1,0.0,1,BB,NLD,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Transient,133.0,0,2,6
BOOK-212286,City Hotel,0,72,2017,24,11,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,140.0,0,2,6
BOOK-148014,Resort Hotel,1,95,2016,52,18,3,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,42.0,0,0,12
BOOK-194022,Resort Hotel,0,0,2017,9,1,0,1,3,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,110.0,0,0,3
BOOK-163748,City Hotel,1,531,2016,52,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,62.8,0,0,12
BOOK-155675,Resort Hotel,0,0,2017,10,7,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,48.0,0,0,3
BOOK-189295,Resort Hotel,0,21,2016,15,7,1,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,35.1,0,0,4
BOOK-116777,City Hotel,0,59,2016,6,6,2,2,1,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,51.0,0,0,2
BOOK-118458,City Hotel,1,260,2015,27,4,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,62.0,0,0,7
BOOK-119451,City Hotel,0,60,2017,15,11,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,126.0,0,1,4
BOOK-153729,Resort Hotel,0,47,2016,21,16,1,0,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,58.0,0,0,5
BOOK-131537,Resort Hotel,0,82,2016,50,7,0,4,2,0.0,0,BB,ESP,Groups,Direct,0,0,0,A,0,No Deposit,0,Transient-Party,39.3,1,0,12
BOOK-139734,Resort Hotel,0,233,2017,24,15,0,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,99.0,0,2,6
BOOK-156798,City Hotel,1,165,2015,32,8,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,86.0,0,0,8
BOOK-129931,City Hotel,0,115,2016,12,18,0,2,3,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,131.75,0,0,3
BOOK-115283,Resort Hotel,0,39,2017,13,31,2,4,2,1.0,0,BB,POL,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient,101.67,1,0,3
BOOK-138742,City Hotel,0,0,2017,15,15,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,1,No Deposit,0,Transient,212.0,0,0,4
BOOK-173965,Resort Hotel,0,0,2017,5,2,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,1,No Deposit,0,Transient,40.0,0,1,2
BOOK-172930,Resort Hotel,0,111,2017,4,26,4,10,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,30.6,0,0,1
