customer_id,recency_days,purchase_frequency,monetary_value,product_diversity,units_purchased,active_days,country,average_basket_value,return_line_rate
SHOP-101089,12,7,201.12,37,43,5,United Kingdom,28.731428571428573,0.02564102564102564
SHOP-100317,117,2,353.86,86,193,2,United Kingdom,176.92999999999998,0.0
SHOP-102146,19,11,1789.77,84,865,11,France,162.70636363636365,0.03636363636363636
SHOP-101732,28,9,2709.7000000000003,111,1506,8,United Kingdom,301.0777777777778,0.07142857142857142
SHOP-102450,180,3,321.43,56,88,2,United Kingdom,107.14333333333333,0.0
SHOP-101719,8,9,3965.62,94,2149,9,United Kingdom,440.6244444444444,0.11728395061728394
SHOP-102023,15,4,1504.27,81,1007,4,United Kingdom,376.0675,0.0
SHOP-102369,55,2,642.77,37,369,2,United Kingdom,321.385,0.0
SHOP-101379,2,37,17220.36,55,7322,31,United Kingdom,465.41513513513513,0.07769423558897243
SHOP-101032,137,4,591.55,53,265,4,United Kingdom,147.88750000000002,0.014492753623188406
SHOP-102504,262,2,605.58,79,359,2,United Kingdom,302.78999999999996,0.0
SHOP-100539,53,4,1344.78,65,776,4,Belgium,336.195,0.056818181818181816
SHOP-100815,3,10,5226.23,201,2229,10,Belgium,522.6229999999999,0.029197080291970802
SHOP-100624,29,10,2924.9900000000002,61,2753,10,United Kingdom,292.49899999999997,0.009433962264150943
SHOP-100378,10,4,1153.62,50,800,4,United Kingdom,288.405,0.0
SHOP-101619,80,2,7829.89,31,2055,2,Denmark,3914.945,0.0
SHOP-100952,96,4,663.65,59,298,4,United Kingdom,165.9125,0.0
SHOP-100044,113,5,1220.26,46,1038,4,United Kingdom,244.052,0.014285714285714285
SHOP-100917,72,4,2232.4900000000002,72,1017,3,United Kingdom,558.1225,0.0
SHOP-100671,21,2,230.22,11,142,2,United Kingdom,115.11,0.0
SHOP-100328,2,21,9418.470000000001,151,4265,18,United Kingdom,448.4985714285714,0.026845637583892617
SHOP-101741,2,18,21086.3,74,7559,17,United Kingdom,1171.4611111111112,0.0
SHOP-100749,26,9,7956.46,258,3536,7,Finland,884.0511111111111,0.02
SHOP-102598,16,2,537.48,31,428,2,United Kingdom,268.74,0.0
SHOP-102130,1,8,2711.56,70,861,8,United Kingdom,338.945,0.014814814814814815
SHOP-102111,4,7,2078.95,117,1630,7,United Kingdom,296.9928571428572,0.022556390977443608
SHOP-102670,241,4,1047.11,18,378,3,United Kingdom,261.7775,0.045454545454545456
SHOP-100103,33,5,2246.81,200,1489,5,United Kingdom,449.3620000000001,0.0
SHOP-101052,2,7,2160.7,80,1853,6,United Kingdom,308.6714285714285,0.007692307692307693
SHOP-101963,15,2,250.26000000000002,7,130,2,United Kingdom,125.13000000000002,0.0
SHOP-100476,20,4,1309.6,7,720,4,United Kingdom,327.4,0.09090909090909091
SHOP-100281,23,8,1912.67,93,1391,8,United Kingdom,239.08375,0.1328125
SHOP-102386,18,8,3711.77,97,1926,8,United Kingdom,463.97125,0.014285714285714285
SHOP-100844,71,3,2748.31,83,1181,2,United Kingdom,916.1033333333334,0.10377358490566038
SHOP-101483,5,10,2586.67,315,1695,10,United Kingdom,258.66700000000003,0.005847953216374269
SHOP-100285,23,14,4559.150000000001,211,2496,11,United Kingdom,325.65357142857147,0.0219435736677116
SHOP-102777,19,3,3435.76,191,2252,3,United Kingdom,1145.2533333333333,0.06481481481481481
SHOP-102295,75,2,482.46999999999997,34,480,2,United Kingdom,241.235,0.0
SHOP-101956,1,2,326.75,28,231,2,United Kingdom,163.375,0.0
SHOP-100556,12,2,417.23,56,363,2,United Kingdom,208.615,0.0
SHOP-101364,28,7,2609.1,57,3143,7,France,372.7285714285714,0.0
SHOP-100654,45,3,95.85,2,69,3,United Kingdom,31.95,0.0
SHOP-101602,28,5,2502.84,232,1371,4,Germany,500.56800000000004,0.006993006993006993
SHOP-102667,4,4,1255.59,69,1061,4,United Kingdom,313.8975,0.012048192771084338
SHOP-101019,42,2,463.46000000000004,29,289,2,United Kingdom,231.73000000000002,0.0
SHOP-100038,20,2,483.26,101,349,2,United Kingdom,241.63,0.0
SHOP-101447,130,3,1703.41,79,1877,3,United Kingdom,567.8033333333334,0.0
SHOP-100988,66,2,138.03,31,99,1,Israel,69.015,0.0
SHOP-102540,4,15,31906.82,111,32748,15,Sweden,2127.1213333333335,0.014925373134328358
SHOP-100342,143,4,195.73999999999998,15,574,4,United Kingdom,48.935,0.0
SHOP-101009,8,19,3622.68,245,1994,18,United Kingdom,190.66736842105263,0.014388489208633094
SHOP-101427,2,2,270.6,3,146,2,United Kingdom,135.3,0.0
SHOP-101649,31,6,2548.24,29,2500,6,United Kingdom,424.70666666666665,0.045454545454545456
SHOP-100632,60,3,84.65,12,41,2,United Kingdom,28.21666666666667,0.0
SHOP-100224,110,2,552.0,23,408,2,Unspecified,276.0,0.0
SHOP-102592,61,5,1835.7,63,740,4,United Kingdom,367.14,0.23076923076923078
SHOP-101516,52,3,3049.88,226,2169,3,United Kingdom,1016.6266666666667,0.0
SHOP-100341,74,2,558.7,27,219,2,United Kingdom,279.35,0.06666666666666667
SHOP-102619,117,2,2791.59,84,2135,2,Portugal,1395.795,0.0
SHOP-101460,163,4,1619.73,72,499,4,United Kingdom,404.9325,0.371900826446281
SHOP-102185,336,2,816.0,1,192,2,United Kingdom,408.0,0.0
SHOP-100162,46,5,1804.56,98,1142,4,United Kingdom,360.912,0.026785714285714284
SHOP-100058,30,6,1456.96,13,544,5,United Kingdom,242.82666666666668,0.0975609756097561
SHOP-101938,17,5,4051.17,89,1723,5,France,810.234,0.03076923076923077
SHOP-102497,49,3,488.2,26,157,3,United Kingdom,162.73333333333332,0.0
SHOP-100616,52,7,21279.29,178,5241,6,Singapore,3039.8985714285714,0.03056768558951965
