image_id,label
IMG-104827,dress
IMG-101110,trouser
IMG-104535,trouser
IMG-112978,shirt
IMG-103033,trouser
IMG-114663,bag
IMG-106608,ankle_boot
IMG-106898,bag
IMG-100352,dress
IMG-104708,sneaker
IMG-114597,top
IMG-114905,pullover
IMG-107022,pullover
IMG-106681,coat
IMG-113317,coat
IMG-105195,top
IMG-110578,trouser
IMG-102514,dress
IMG-113523,top
IMG-109999,top
IMG-109708,top
IMG-104221,coat
IMG-113019,top
IMG-110259,sandal
IMG-108123,sneaker
IMG-112669,sneaker
IMG-100773,pullover
IMG-112711,bag
IMG-104236,dress
IMG-105147,trouser
IMG-104440,coat
IMG-103015,pullover
IMG-101914,bag
IMG-109065,dress
IMG-106764,sandal
IMG-104215,pullover
IMG-108641,top
IMG-114126,bag
IMG-105254,pullover
IMG-102605,dress
IMG-106083,sneaker
IMG-102137,coat
IMG-108548,trouser
IMG-108805,ankle_boot
IMG-102927,ankle_boot
IMG-113884,dress
IMG-113430,top
IMG-103212,coat
IMG-113354,top
IMG-111521,bag
IMG-106088,pullover
IMG-107886,shirt
IMG-106231,bag
IMG-106482,trouser
IMG-100148,shirt
IMG-104185,top
IMG-100190,sandal
IMG-103363,dress
IMG-113124,coat
IMG-101240,dress
IMG-113455,pullover
IMG-109510,dress
IMG-112201,sandal
IMG-107432,bag
IMG-113072,pullover
IMG-108818,coat
IMG-113673,coat
IMG-109687,trouser
IMG-110372,sneaker
IMG-108135,sandal
IMG-113562,pullover
IMG-112678,pullover
IMG-101497,dress
IMG-106662,bag
IMG-108658,sandal
IMG-105122,pullover
IMG-113932,dress
IMG-101256,coat
IMG-104793,bag
IMG-100006,ankle_boot
IMG-100173,coat
IMG-100501,ankle_boot
IMG-110226,top
IMG-113178,top
IMG-105743,trouser
IMG-112228,trouser
IMG-109117,ankle_boot
IMG-111906,top
IMG-108958,dress
IMG-114794,coat
IMG-110309,ankle_boot
IMG-112863,shirt
IMG-111929,shirt
IMG-109451,pullover
IMG-103107,dress
IMG-103897,dress
IMG-114033,ankle_boot
IMG-101703,pullover
IMG-113891,top
IMG-109776,trouser
IMG-112939,shirt
IMG-104684,shirt
IMG-102250,dress
IMG-113719,trouser
IMG-104250,coat
IMG-109929,pullover
IMG-103570,bag
IMG-112210,top
IMG-113435,bag
IMG-108105,shirt
IMG-108364,sandal
IMG-112965,dress
IMG-101984,sneaker
IMG-108532,trouser
IMG-101107,bag
IMG-111412,sandal
IMG-105701,shirt
IMG-101298,ankle_boot
IMG-103391,sneaker
IMG-103802,sandal
IMG-109511,top
IMG-106417,top
IMG-113837,dress
IMG-101306,sneaker
IMG-106419,trouser
IMG-111195,sneaker
IMG-110667,shirt
IMG-108933,shirt
IMG-104060,coat
IMG-111128,shirt
IMG-107897,sneaker
IMG-109805,sandal
IMG-113955,sneaker
IMG-114599,shirt
IMG-100174,top
IMG-113616,ankle_boot
IMG-100282,dress
IMG-112252,shirt
IMG-106514,sandal
IMG-102778,dress
IMG-103043,coat
IMG-103864,bag
IMG-106890,sandal
IMG-107803,top
IMG-109448,sneaker
IMG-106210,pullover
IMG-112547,shirt
IMG-112807,ankle_boot
IMG-113988,sneaker
IMG-106227,bag
IMG-110335,shirt
IMG-113078,coat
IMG-106789,bag
IMG-101805,ankle_boot
IMG-113232,top
IMG-105802,coat
IMG-106854,sandal
