customer_id,recency,prior_spend_band,prior_spend_usd,mens,womens,geography,newbie,channel,visited,converted,spend_usd,treatment
MKT-121977,9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-119699,10,3) $200 - $350,297.22,1,1,Surburban,0,Web,0,0,0.0,0
MKT-104599,7,1) $0 - $100,29.99,0,1,Rural,0,Phone,0,0,0.0,0
MKT-118475,11,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0,0.0,0
MKT-112774,11,2) $100 - $200,181.79,0,1,Urban,1,Web,0,0,0.0,1
MKT-106537,7,2) $100 - $200,100.4,0,1,Rural,1,Phone,0,0,0.0,0
MKT-111707,11,5) $500 - $750,557.17,1,0,Surburban,1,Web,0,0,0.0,0
MKT-111365,8,1) $0 - $100,51.04,1,0,Urban,1,Web,0,0,0.0,0
MKT-108132,2,3) $200 - $350,213.12,1,1,Rural,1,Phone,1,0,0.0,1
MKT-105164,6,2) $100 - $200,132.2,0,1,Surburban,1,Web,0,0,0.0,1
MKT-123036,6,"6) $750 - $1,000",779.35,1,1,Urban,1,Multichannel,0,0,0.0,1
MKT-100967,9,3) $200 - $350,285.2,0,1,Rural,0,Phone,0,0,0.0,1
MKT-120541,2,3) $200 - $350,240.18,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-108983,10,2) $100 - $200,123.74,1,0,Urban,0,Web,0,0,0.0,1
MKT-113508,3,3) $200 - $350,277.73,0,1,Urban,1,Web,0,0,0.0,1
MKT-120711,12,1) $0 - $100,63.45,0,1,Surburban,0,Web,0,0,0.0,1
MKT-119155,1,1) $0 - $100,29.99,0,1,Rural,0,Phone,1,0,0.0,1
MKT-119306,2,3) $200 - $350,216.59,1,0,Urban,0,Multichannel,0,0,0.0,1
MKT-105826,2,3) $200 - $350,298.79,0,1,Surburban,1,Web,0,0,0.0,0
MKT-101533,11,5) $500 - $750,641.37,1,0,Surburban,1,Web,0,0,0.0,0
MKT-110106,10,1) $0 - $100,29.99,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-113894,11,1) $0 - $100,52.36,0,1,Urban,0,Web,0,0,0.0,1
MKT-109876,7,2) $100 - $200,116.35,0,1,Urban,1,Web,0,0,0.0,1
MKT-104496,1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-123619,4,3) $200 - $350,210.05,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-107693,3,1) $0 - $100,94.07,0,1,Surburban,1,Phone,0,0,0.0,0
MKT-103057,6,2) $100 - $200,142.71,0,1,Surburban,1,Web,0,0,0.0,1
MKT-119356,9,2) $100 - $200,100.25,1,0,Surburban,0,Phone,0,0,0.0,1
MKT-122193,9,4) $350 - $500,365.59,1,1,Rural,0,Multichannel,1,1,29.99,1
MKT-109449,10,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
MKT-113319,9,"6) $750 - $1,000",837.81,1,0,Surburban,1,Multichannel,0,0,0.0,1
MKT-101111,10,1) $0 - $100,29.99,1,0,Urban,0,Web,0,0,0.0,1
MKT-111957,7,1) $0 - $100,86.26,1,0,Urban,1,Phone,0,0,0.0,1
MKT-113010,3,1) $0 - $100,64.59,0,1,Urban,1,Phone,0,0,0.0,0
MKT-101377,11,1) $0 - $100,62.09,1,0,Urban,0,Phone,0,0,0.0,1
MKT-119111,2,1) $0 - $100,78.43,1,0,Urban,1,Web,0,0,0.0,1
MKT-101008,3,5) $500 - $750,580.0,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-115811,2,"7) $1,000 +",1239.58,1,1,Rural,1,Multichannel,0,0,0.0,0
MKT-115341,7,3) $200 - $350,318.0,1,0,Rural,1,Web,0,0,0.0,1
MKT-100042,9,5) $500 - $750,552.46,1,0,Surburban,1,Multichannel,0,0,0.0,0
MKT-109154,10,4) $350 - $500,449.23,0,1,Urban,0,Multichannel,0,0,0.0,0
MKT-122674,3,1) $0 - $100,64.82,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-120706,3,1) $0 - $100,69.23,1,0,Rural,0,Web,0,0,0.0,0
MKT-118698,1,5) $500 - $750,532.76,0,1,Urban,1,Phone,0,0,0.0,0
MKT-118658,6,2) $100 - $200,127.33,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-101688,1,3) $200 - $350,202.83,0,1,Urban,0,Phone,0,0,0.0,1
MKT-121772,8,1) $0 - $100,46.8,1,0,Urban,1,Web,0,0,0.0,1
MKT-110120,1,1) $0 - $100,39.42,1,0,Urban,0,Web,0,0,0.0,1
MKT-121862,11,1) $0 - $100,73.42,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-107549,12,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-113879,8,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-102801,3,3) $200 - $350,232.1,1,0,Rural,0,Phone,0,0,0.0,1
MKT-101904,7,1) $0 - $100,29.99,0,1,Surburban,0,Web,1,0,0.0,0
MKT-113905,6,1) $0 - $100,80.91,1,0,Rural,0,Phone,0,0,0.0,0
MKT-113517,9,3) $200 - $350,224.98,0,1,Urban,0,Web,0,0,0.0,1
MKT-117402,10,1) $0 - $100,45.39,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-102577,2,1) $0 - $100,75.1,1,0,Rural,1,Phone,0,0,0.0,0
MKT-114879,11,1) $0 - $100,78.03,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-102151,6,4) $350 - $500,395.67,1,1,Surburban,0,Web,0,0,0.0,1
MKT-103692,12,3) $200 - $350,213.06,1,0,Surburban,0,Multichannel,0,0,0.0,1
MKT-121156,9,4) $350 - $500,424.05,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-114262,1,"6) $750 - $1,000",886.01,1,0,Rural,1,Web,0,0,0.0,0
MKT-112094,10,1) $0 - $100,29.99,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-109831,3,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
MKT-108405,11,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
MKT-122468,10,2) $100 - $200,180.8,0,1,Surburban,0,Web,0,0,0.0,0
MKT-116043,5,3) $200 - $350,330.44,1,0,Rural,0,Multichannel,0,0,0.0,1
MKT-117431,1,1) $0 - $100,51.45,1,0,Urban,0,Phone,0,0,0.0,0
MKT-119259,8,4) $350 - $500,426.85,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-103329,6,2) $100 - $200,126.57,1,0,Surburban,0,Web,0,0,0.0,0
MKT-122274,11,5) $500 - $750,508.68,0,1,Surburban,1,Web,0,0,0.0,0
MKT-102044,6,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,0
MKT-114822,3,5) $500 - $750,544.18,1,1,Surburban,1,Multichannel,1,0,0.0,1
MKT-116185,7,3) $200 - $350,293.95,1,1,Urban,0,Web,0,0,0.0,1
MKT-102986,7,1) $0 - $100,29.99,0,1,Rural,0,Web,0,0,0.0,0
MKT-110833,3,2) $100 - $200,102.92,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-105590,5,5) $500 - $750,520.56,1,0,Surburban,1,Multichannel,0,0,0.0,0
MKT-102403,1,3) $200 - $350,248.43,1,0,Surburban,1,Multichannel,0,0,0.0,1
MKT-110165,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
MKT-121120,6,3) $200 - $350,349.04,1,0,Rural,1,Phone,0,0,0.0,0
MKT-112625,1,3) $200 - $350,274.32,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-119278,1,4) $350 - $500,389.36,0,1,Urban,0,Web,1,0,0.0,0
MKT-114210,1,"6) $750 - $1,000",812.48,1,0,Urban,1,Multichannel,0,0,0.0,1
MKT-118576,1,"7) $1,000 +",1198.36,0,1,Urban,1,Multichannel,0,0,0.0,1
MKT-117356,1,1) $0 - $100,87.41,1,0,Urban,0,Web,0,0,0.0,0
MKT-108617,3,1) $0 - $100,45.05,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-103490,12,1) $0 - $100,75.66,1,0,Urban,0,Phone,0,0,0.0,0
MKT-121367,9,2) $100 - $200,178.8,0,1,Rural,1,Phone,0,0,0.0,0
MKT-112831,1,5) $500 - $750,585.1,1,0,Surburban,1,Multichannel,0,0,0.0,1
MKT-110005,7,3) $200 - $350,330.31,1,1,Urban,0,Phone,0,0,0.0,1
MKT-117289,1,"6) $750 - $1,000",882.75,1,0,Urban,1,Phone,0,0,0.0,1
MKT-109958,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
MKT-117350,7,"7) $1,000 +",2816.01,0,1,Surburban,1,Web,0,0,0.0,1
MKT-100209,12,4) $350 - $500,374.34,0,1,Urban,1,Phone,0,0,0.0,0
MKT-109213,10,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
MKT-105767,9,2) $100 - $200,154.77,0,1,Surburban,0,Web,0,0,0.0,1
MKT-122671,6,1) $0 - $100,55.44,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-111842,2,3) $200 - $350,302.1,1,0,Surburban,0,Web,0,0,0.0,1
MKT-123777,10,1) $0 - $100,64.55,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-119486,1,5) $500 - $750,525.73,1,1,Surburban,1,Phone,0,0,0.0,1
MKT-107330,1,1) $0 - $100,66.42,0,1,Urban,0,Web,1,0,0.0,1
MKT-100420,11,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-112946,12,2) $100 - $200,197.3,0,1,Surburban,0,Web,0,0,0.0,0
MKT-106061,1,1) $0 - $100,67.99,1,0,Surburban,1,Web,0,0,0.0,1
MKT-105128,1,2) $100 - $200,198.26,1,0,Rural,0,Phone,0,0,0.0,0
MKT-114602,2,1) $0 - $100,50.07,0,1,Urban,0,Web,0,0,0.0,0
MKT-111542,1,3) $200 - $350,331.12,0,1,Urban,0,Phone,1,0,0.0,1
MKT-119981,9,2) $100 - $200,102.38,0,1,Surburban,0,Phone,1,0,0.0,1
MKT-103622,3,3) $200 - $350,243.64,0,1,Rural,0,Web,1,0,0.0,0
MKT-112413,4,1) $0 - $100,82.98,1,0,Urban,0,Phone,0,0,0.0,0
MKT-101884,6,1) $0 - $100,40.67,1,0,Urban,1,Web,0,0,0.0,1
MKT-102916,3,5) $500 - $750,640.27,1,0,Surburban,1,Multichannel,0,0,0.0,0
MKT-119408,10,1) $0 - $100,90.84,1,0,Urban,0,Phone,0,0,0.0,0
MKT-116939,10,1) $0 - $100,31.17,1,0,Surburban,0,Phone,0,0,0.0,1
MKT-102120,6,1) $0 - $100,52.14,0,1,Rural,1,Web,0,0,0.0,0
